label,sentence1
1,"@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxrokay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
1, bitch get up off me 
1,@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice Yes
1,@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e he's a pussy with not tattooing them nipples
1,&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it
0,"@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
1,@DiamondLoudKush: The fuck be wrong with these bitches? Nobody knows
2, momma said no pussy cats inside my doghouse 
1,@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?
1,&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........
1, @rhythmixx_ :hobbies include: fighting Mariam  bitch
1,@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1 this bitch need to go!!!
1,@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee but niggas act like bitches..
1, black bottle &amp; a bad bitch 
1, these hoes like niggas that spend money not talk bout it 
1,@Almightywayne__: Fuck Red Malone man bitch ass niggah could you please use complete sentences?
1, &amp; you might not get ya bitch back &amp; thats that 
1,"@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"
1,@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k it wasn't even funny lol
1,@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!
1, pimps up pimps up hoes down  Future voice
1, broke bitch cant tell me nothing 
1,"@CaelanG15: @22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
1,&amp; he's gone always be a hoe
1, if you aint bout that Murder Game pussy nigga shut up 
1,@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!
1,@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee but niggas act like bitches..
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1,@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553; I SWEAR!!!!!
1, bitch nigga miss me with it 
1,@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..
1,@CeleyNichole: @white_thunduh how come you never bring me food i dont have a car retard
1,"@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;"
1, hoe what its hitting for 
1, i spend my money how i want bitch its my business 
2,@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes. One oreo? Lol
2,@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes. One oreo? Lol
1,@Almightywayne__: Fuck Red Malone man bitch ass niggah could you please use complete sentences?
1, @rhythmixx_ :hobbies include: fighting Mariam  bitch
1,@GEDMelle: 17 missed calls!!!! &#128544;&#128545;Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle
1,"@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"
1,"@BlackNerdJade: Ok, sis. She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
2,@ArizonasFinest6: Why the eggplant emoji doe?y he say she looked like scream lmao
1, these bitches even worst they'll send them guys for you 
0,@CB_Baby24: @white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican
1,@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e he's a pussy with not tattooing them nipples
1, &amp; you might not get ya bitch back &amp; thats that 
1, i met that pussy on Ocean Dr . i gave that pussy a pill  &#128524;
1,@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?
1,@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou woof woof
1,"@CaelanG15: @22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
1,@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1 this bitch need to go!!!
1, her pussy lips like Heaven doors  &#128524;
1, these bitches even worst they'll send them guys for you 
1,@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b &gt;30%chance
2, momma said no pussy cats inside my doghouse 
1,@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.
1, i met that pussy on Ocean Dr . i gave that pussy a pill  &#128524;
1,@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514; *by @anelylove *
1, i met that pussy on Ocean Dr . i gave that pussy a pill  &#128524;
1,&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........
2,"@M_Rad: &#8220;@DezDLT: I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04"
1,@LODYCASH: dry pussy bitches always blame it on the condom&#128514;&#128079;&#128514;&#128079;&#128514;
2,"@FunnyPicsDepot: this the I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup"
1, i txt my old bitch my new bitch pussy wetter 
1,@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo. ...sounding like me over there lol
1, bitch get up off me 
2,@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes. One oreo? Lol
2,@AllAboutManFeet: http://t.co/3gzUpfuMev woof woof and hot soles
1,"@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes! Bro white dudes have no chill."
1,"@BlackNerdJade: Ok, sis. She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
1, cancel that bitch like Nino 
1,"@Montrell_: I'm tired of bitches saying I look mean.. &#128530; nigga you big af, wear tight shirts, and grim everybody."
1,@CeleyNichole: @white_thunduh how come you never bring me food i dont have a car retard
1,@GirlThatsVonte: Yall still going trick or treating this year or nah?hell yeah ima be da sweet tooth bandit steal bitches bags n shit
1,@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes depends on the female i feel
1,@JasminePore: If you dressed up as a cat for Halloween you are basic. ...or a pussy
1,"@CaelanG15: @22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
1,@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6 yeah she's a hoe
1,@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP @J_Austin12 I meant to do this one. Smh.
1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
1,"@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"
1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
1,@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit
1, im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that 
1,@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro theyll never be loyal that y they hoes my nig
1, black bottle &amp; a bad bitch 
1,@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k it wasn't even funny lol
1,@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore chill I brought like like 8 prople
1,@CeleyNichole: @white_thunduh how come you never bring me food i dont have a car retard
1,"@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.lmao bitch don't trick me again"
1,"@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU. BYE HOE!"
1, i txt my old bitch my new bitch pussy wetter 
1,@DoYou_Q: Got bitches in the DM but I don't ever read'em which is y your top 3
1,@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.
1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
1, cancel that bitch like Nino 
1, i txt my old bitch my new bitch pussy wetter 
1,@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1 maybe you'll get better. Just http://t.co/TPreVwfq0S
1,"@LiLFridayHOE: Easy cum, easy hoe That's a fact !"
1,"@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes! Bro white dudes have no chill."
1,@JamesyNBA: I wish I was a bitch like my brother keezy &#128530; ooooow I bet you do
1,@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u 0 rings 0 mvps 0 bitches lol
1,@KissMySmilee: Don't got time for bitches to be actin iffy.
2,"@M_Rad: &#8220;@DezDLT: I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04"
1,@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .. s/o to the ones that can do both!
1,@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?
1,@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075; ainna bruh
1,@Dietrich1892: Yall shut up:p make me bitch
1,@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;
1,@ChandlerParsons: How bout them Cowboys!!!! Shutup pussy
1,@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo. ...sounding like me over there lol
1,"@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"
1,@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;Broke hoe problems &#128514;&#128514;&#128514;&#128128;
1,@PoemsPorn: Quote this tweet with your favorite animal.pussy
2,@RachieSoul: @DizzleOfficial inna di ghetto!!! You alone lmaoo
1,@RishaaWilliams: @TRESHON_SCROOGE @_Nevertrustt ol bitch ass http://t.co/AmcOinY0wG
1,@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!
1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
1, fuck no that bitch dont even suck dick  &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up
1,@No_FAKINGG: People always asking me what I'm mixed with. She a bad asian bitch lol
1, bitches get cut off everyday B 
1,@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers. Retweet
1,@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad lmaooo
2,@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf I'm doing this idc
1, i spend my money how i want bitch its my business 
1,"@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"
1,@No_FAKINGG: People always asking me what I'm mixed with. She a bad asian bitch lol
1,"@LiLFridayHOE: Easy cum, easy hoe That's a fact !"
1, these bitches even worst they'll send them guys for you 
0,@CB_Baby24: @white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican
1,@Linniekravitz: @WesGodLaFlare bitch wtf http://t.co/DaSmycxODB
2,@SportsCenter: Eli Manning just threw his NFL-leading 27th interception of the season. Lmao trash
1, i'd say im back to the old me but my old bitches would get excited  &#128524;
2,@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588; I got hicks lol
1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
1,@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5 &#128557;&#128514;
1,@CCobey: @AydanMcCoy happy birthday nigs Thanks yo
1, most hated but the hoes favorite  #2MW #SevenOne # http://t.co/BMdSVMc3rC
1,@TayKnosBest: These hoes is crazy
1,@ShanTaughtHer: These catfish hoes thinkin they slick.. But niggas catching on &#128524;
2,@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6 sexy scally lad
1,@KelsieBelsi: You're not a man if you refer to every girl as a bitch
1,@DiamondLoudKush: The fuck be wrong with these bitches? Nobody knows
2,@Theo17100: http://t.co/BYj1HOyhmG this scally lad would get it
1,@CASHandBOOBIES: I been kidnapped yo bitch
1,@TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee
1,@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u 0 rings 0 mvps 0 bitches lol
1,@Lightskingawdd: Wish I had a bae &#128533;  You got all the hoes tho
2,"@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm #Climate"
1,"@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!
292	1	@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;"
2,@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight. I do that pussy shit every day.
1,@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752; dis why i love miley :*
1, running round here like some brand new pussy thats bout to get fucked 
2,"@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm #Climate"
0,"@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM ....dudes a fag"
1,@LolaaIsDope: Lmao fucking snake bitches @ em
0,"@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
1, cant you see these hoes wont change 
1,@KingTeej_: Ol dirty foot ass bitches.. this was too funny to me.
1,@ShowArrive: Side hoes are for insecure niggas that can't handle a real one.
2,"@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm #Climate"
1,@adriwadrri: No love for these fuck niggas hoes*
1,@XoXo__Angiee: Bruno fag boy you love me.
1,@HBMostDope: @1Jayee @PipinHoes used to send that bitch up
1,@KeyshawnSwag: Lmfao this cat started beating the shit out of me my nigga finally got some pussy?!? MY NIGGA!!!
1,@NastyCopper: Money getting taller and bitches getting blurry
0,@CB_Baby24: @white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican
1,@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisherpreciate that bitch roll up!
2,"@M_Rad: &#8220;@DezDLT: I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04"
1,@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524; HELL YEAH NIGGY
1,@TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee
1,"@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""  &#128533;
121	2	@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;  They *are* fairy tale creatures."
1,"@allisonnamaya_: What should I name my cat, ideas? Mr pussy"
1,@_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back Strong Mush or Shake..
1,@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit . Damn Skippy lol
2,@ArizonasFinest6: Why the eggplant emoji doe?y he say she looked like scream lmao
2,"@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;  They *are* fairy tale creatures.
211	1	@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
1,@TayKnosBest: These hoes is crazy
1, jus meet son now he ya mane ass bitches  #Shots
1, bitches get cut off everyday B 
1,@SnakecharmsDump: http://t.co/4b427dQZCV oh yeah fuck that bitch
1,@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!
2,@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588; I got hicks lol
1,@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752; dis why i love miley :*
1,@YoungRicooo: Happy birthday bitch nigga @WexicanAfro702 Thanks pal
1,@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1 this bitch need to go!!!
1,@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful? No. Ugly monkey ass.
1,@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo @Pornhub get on it Katie&lt;3
1,"@WBeezy_: @Run_DRC: Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""why ?"
2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752; dis why i love miley :*
1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
1,"@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes. ...nah, I throw no look passes lmao"
1,&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it
2,"@WBUR: A smuggler explains how he helped fighters along the Jihadi Highway"": http://t.co/UX4anxeAwd"""
1, most hated but the hoes favorite  #2MW #SevenOne # http://t.co/BMdSVMc3rC
1,@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.
1,@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful? No. Ugly monkey ass.
1,"@KazAtta: @1TAKEHOV Oh man.. its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
1,@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;&#128514;&#128514;&#128514;
1, pimps up pimps up hoes down  Future voice
1,"@WBeezy_: @QuaTheGreat: Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0"" &#128128;&#128128;&#128128;"" do I gotta get Ike avi on this bitch ?"
1,"@CaelanG15: @22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
1,"@ProdsJewel_: &#8220;@sreadthepeace: &#8220;@yungmindless: @PeacePunkPrince Prince, THIS is art. http://t.co/EPHRWxMBHr&#8221; nobody takin his bitch!
144	1	@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu"
1,@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;
1, these hoes like niggas that spend money not talk bout it 
1,@__Sugga: There's a lane some bitches need to stay in &#128526; the left n get right the fuck outta our face &#128557;&#128129;&#128536;
1,@juicyyyjayyyy: Side bitch Sunday &#128514;&#128514;&#128514; &#128514;&#128514;&#128514;
